014803933	|||	eng					The American in Paris. [By John Sanderson.] [electronic resource]		London : Henry Colburn, 1838.			SANDERSON, John, of Philadelphia.		lsidyv3c9174aa -- lsidyv3c9186ec
014803985	|||	eng			ANDERSON, John Corbet.		Croydon: Pre-historic & Roman. (Saxon Croydon.-Croydon Old Church: Parish Register; and the Whitgift Charity.-The Archiepiscopal Palace at Croydon.). [electronic resource]		[Croydon?], 1874-79.					lsidyv31ae2d68 -- lsidyv34f47c0d -- lsidyv3c3d732f -- lsidyv31ad14fa
014803986	|||	eng			ANDERSON, John Corbet.		A Short Chronicle concerning the Parish of Croydon ... Surrey. [electronic resource]		London, 1882.					lsidyv3c48dcac
014804010	|||	eng				Churches and Institutions (ANDREW, Saint and Apostle). Peebles. Church of St. Andrew.	The New Parish Church of Peebles. The opening services. Reprinted from the “Peeblesshire Advertiser.”. [electronic resource]		Peebles : Watson & Smyth, [1887]					lsidyv2b04d138
014804031	|||	fre			ANDRIEU, Jules, of Agen.		Une Province à travers les siècles. Histoire de l'Agenais. [electronic resource]		Paris, 1893.					lsidyv365bffa6 -- lsidyv3cec2f24 -- lsidyv3cec3b3e -- lsidyv365c1ef2
014804037	|||	eng					Paris by Day and Night. A book for the Exhibition. By Anglo-Parisian. [electronic resource]		London : Ward & Downey, 1889.				Paris (France)	lsidyv3beb60f4
014804079	|||	eng			ANTON, Peter.		Kilsyth: a parish history. [With illustrations.] [electronic resource]		Glasgow : J. Smith & Son, 1893.					lsidyv2b36ff7e
014804192	|||	eng			ARNOLD, Frederick, F.R. Hist. Soc.		The History of Streatham. Being an account of the ancient parish of Estreham, with the history of the Manors of Tooting Bec, Leigham and Balham, and a short sketch of the county of Surrey. [electronic resource]		London : Elliot Stock, 1886.					lsidyv3c4d882d
014804253	|||	fre					Recueil d'itinéraires et de voyages dans l'Asie Centrale et l'Extrême Orient, etc. [With a map.] [electronic resource]		Paris, 1878.	[Publications de l'École Spéciale des Langues Orientales vivantes. no. 7.]				lsidyv3c683e85
014804260	|||	eng			ASTLEY, John, of Coventry.		The Monumental Inscriptions in the Parish Church of S. Michael, Coventry, together with drawings of all the arms found therein, etc. [electronic resource]		Coventry : W. W. Curtis, [1885]					lsidyv3c0eaa24
014804289	|||	eng			ATKINSON, Edward Dupré.		An Ulster Parish: being a history of Donaghcloney, Waringstown. [With plates.] [electronic resource]		Dublin : Hodges, Figgis & Co., 1898.					lsidyv3c3cad1d
